agency_cd,site_no,date,gauges,quality
USGS,8362500,1938-01-01,54,A
USGS,8362500,1938-01-02,54,A
USGS,8362500,1938-01-03,54,A
USGS,8362500,1938-01-04,54,A
USGS,8362500,1938-01-05,54,A
USGS,8362500,1938-01-06,53,A
USGS,8362500,1938-01-07,53,A
USGS,8362500,1938-01-08,52,A
USGS,8362500,1938-01-09,52,A
USGS,8362500,1938-01-10,52,A
USGS,8362500,1938-01-11,51,A
USGS,8362500,1938-01-12,51,A
USGS,8362500,1938-01-13,50,A
USGS,8362500,1938-01-14,50,A
USGS,8362500,1938-01-15,50,A
USGS,8362500,1938-01-16,49,A
USGS,8362500,1938-01-17,49,A
USGS,8362500,1938-01-18,48,A
USGS,8362500,1938-01-19,48,A
USGS,8362500,1938-01-20,48,A
USGS,8362500,1938-01-21,47,A
USGS,8362500,1938-01-22,47,A
USGS,8362500,1938-01-23,48,A
USGS,8362500,1938-01-24,48,A
USGS,8362500,1938-01-25,48,A
USGS,8362500,1938-01-26,48,A
USGS,8362500,1938-01-27,48,A
USGS,8362500,1938-01-28,48,A
USGS,8362500,1938-01-29,48,A
USGS,8362500,1938-01-30,48,A
USGS,8362500,1938-01-31,48,A
USGS,8362500,1938-02-01,48,A
USGS,8362500,1938-02-02,48,A
USGS,8362500,1938-02-03,48,A
USGS,8362500,1938-02-04,48,A
USGS,8362500,1938-02-05,48,A
USGS,8362500,1938-02-06,48,A
USGS,8362500,1938-02-07,48,A
USGS,8362500,1938-02-08,379,A
USGS,8362500,1938-02-09,458,A
USGS,8362500,1938-02-10,353,A
USGS,8362500,1938-02-11,325,A
USGS,8362500,1938-02-12,505,A
USGS,8362500,1938-02-13,701,A
USGS,8362500,1938-02-14,751,A
USGS,8362500,1938-02-15,766,A
USGS,8362500,1938-02-16,781,A
USGS,8362500,1938-02-17,885,A
USGS,8362500,1938-02-18,756,A
USGS,8362500,1938-02-19,504,A
USGS,8362500,1938-02-20,416,A
USGS,8362500,1938-02-21,360,A
USGS,8362500,1938-02-22,356,A
USGS,8362500,1938-02-23,356,A
USGS,8362500,1938-02-24,310,A
USGS,8362500,1938-02-25,180,A
USGS,8362500,1938-02-26,500,A
USGS,8362500,1938-02-27,619,A
USGS,8362500,1938-02-28,595,A
USGS,8362500,1938-03-01,591,A
USGS,8362500,1938-03-02,681,A
USGS,8362500,1938-03-03,726,A
USGS,8362500,1938-03-04,775,A
USGS,8362500,1938-03-05,988,A
USGS,8362500,1938-03-06,998,A
USGS,8362500,1938-03-07,931,A
USGS,8362500,1938-03-08,907,A
USGS,8362500,1938-03-09,796,A
USGS,8362500,1938-03-10,799,A
USGS,8362500,1938-03-11,804,A
USGS,8362500,1938-03-12,1020,A
USGS,8362500,1938-03-13,1080,A
USGS,8362500,1938-03-14,1060,A
USGS,8362500,1938-03-15,970,A
USGS,8362500,1938-03-16,1110,A
USGS,8362500,1938-03-17,1090,A
USGS,8362500,1938-03-18,1100,A
USGS,8362500,1938-03-19,1240,A
USGS,8362500,1938-03-20,1470,A
USGS,8362500,1938-03-21,1290,A
USGS,8362500,1938-03-22,1360,A
USGS,8362500,1938-03-23,1550,A
USGS,8362500,1938-03-24,1660,A
USGS,8362500,1938-03-25,1680,A
USGS,8362500,1938-03-26,1750,A
USGS,8362500,1938-03-27,1710,A
USGS,8362500,1938-03-28,1750,A
USGS,8362500,1938-03-29,1790,A
USGS,8362500,1938-03-30,1800,A
USGS,8362500,1938-03-31,1740,A
USGS,8362500,1938-04-01,1780,A
USGS,8362500,1938-04-02,1860,A
USGS,8362500,1938-04-03,1820,A
USGS,8362500,1938-04-04,1810,A
USGS,8362500,1938-04-05,1580,A
USGS,8362500,1938-04-06,1830,A
USGS,8362500,1938-04-07,1990,A
USGS,8362500,1938-04-08,1950,A
USGS,8362500,1938-04-09,1940,A
USGS,8362500,1938-04-10,1980,A
USGS,8362500,1938-04-11,2080,A
USGS,8362500,1938-04-12,2080,A
USGS,8362500,1938-04-13,1830,A
USGS,8362500,1938-04-14,1760,A
USGS,8362500,1938-04-15,1650,A
USGS,8362500,1938-04-16,2040,A
USGS,8362500,1938-04-17,2120,A
USGS,8362500,1938-04-18,1980,A
USGS,8362500,1938-04-19,1890,A
USGS,8362500,1938-04-20,1880,A
USGS,8362500,1938-04-21,1920,A
USGS,8362500,1938-04-22,2010,A
USGS,8362500,1938-04-23,2020,A
USGS,8362500,1938-04-24,2000,A
USGS,8362500,1938-04-25,2010,A
USGS,8362500,1938-04-26,2090,A
USGS,8362500,1938-04-27,2270,A
USGS,8362500,1938-04-28,2210,A
USGS,8362500,1938-04-29,2050,A
USGS,8362500,1938-04-30,1850,A
USGS,8362500,1938-05-01,1880,A
USGS,8362500,1938-05-02,1910,A
USGS,8362500,1938-05-03,1930,A
USGS,8362500,1938-05-04,1800,A
USGS,8362500,1938-05-05,1670,A
USGS,8362500,1938-05-06,1700,A
USGS,8362500,1938-05-07,1720,A
USGS,8362500,1938-05-08,1660,A
USGS,8362500,1938-05-09,1660,A
USGS,8362500,1938-05-10,1620,A
USGS,8362500,1938-05-11,1650,A
USGS,8362500,1938-05-12,1660,A
USGS,8362500,1938-05-13,1740,A
USGS,8362500,1938-05-14,1990,A
USGS,8362500,1938-05-15,1890,A
USGS,8362500,1938-05-16,1870,A
USGS,8362500,1938-05-17,1890,A
USGS,8362500,1938-05-18,1970,A
USGS,8362500,1938-05-19,1920,A
USGS,8362500,1938-05-20,1870,A
USGS,8362500,1938-05-21,1870,A
USGS,8362500,1938-05-22,1880,A
USGS,8362500,1938-05-23,1890,A
USGS,8362500,1938-05-24,1860,A
USGS,8362500,1938-05-25,1610,A
USGS,8362500,1938-05-26,1880,A
USGS,8362500,1938-05-27,2000,A
USGS,8362500,1938-05-28,1970,A
USGS,8362500,1938-05-29,1990,A
USGS,8362500,1938-05-30,2030,A
USGS,8362500,1938-05-31,2070,A
USGS,8362500,1938-06-01,2250,A
USGS,8362500,1938-06-02,2290,A
USGS,8362500,1938-06-03,2260,A
USGS,8362500,1938-06-04,2260,A
USGS,8362500,1938-06-05,2260,A
USGS,8362500,1938-06-06,2220,A
USGS,8362500,1938-06-07,2200,A
USGS,8362500,1938-06-08,2260,A
USGS,8362500,1938-06-09,2220,A
USGS,8362500,1938-06-10,2200,A
USGS,8362500,1938-06-11,2220,A
USGS,8362500,1938-06-12,2200,A
USGS,8362500,1938-06-13,2200,A
USGS,8362500,1938-06-14,2100,A
USGS,8362500,1938-06-15,2120,A
USGS,8362500,1938-06-16,2120,A
USGS,8362500,1938-06-17,2050,A
USGS,8362500,1938-06-18,2080,A
USGS,8362500,1938-06-19,2080,A
USGS,8362500,1938-06-20,2080,A
USGS,8362500,1938-06-21,2120,A
USGS,8362500,1938-06-22,2300,A
USGS,8362500,1938-06-23,2130,A
USGS,8362500,1938-06-24,1960,A
USGS,8362500,1938-06-25,2180,A
USGS,8362500,1938-06-26,2160,A
USGS,8362500,1938-06-27,1820,A
USGS,8362500,1938-06-28,1200,A
USGS,8362500,1938-06-29,764,A
USGS,8362500,1938-06-30,510,A
USGS,8362500,1938-07-01,646,A
USGS,8362500,1938-07-02,929,A
USGS,8362500,1938-07-03,1360,A
USGS,8362500,1938-07-04,1670,A
USGS,8362500,1938-07-05,1660,A
USGS,8362500,1938-07-06,1740,A
USGS,8362500,1938-07-07,1790,A
USGS,8362500,1938-07-08,2000,A
USGS,8362500,1938-07-09,2130,A
USGS,8362500,1938-07-10,2000,A
USGS,8362500,1938-07-11,2280,A
USGS,8362500,1938-07-12,2050,A
USGS,8362500,1938-07-13,2200,A
USGS,8362500,1938-07-14,2210,A
USGS,8362500,1938-07-15,1940,A
USGS,8362500,1938-07-16,2060,A
USGS,8362500,1938-07-17,2150,A
USGS,8362500,1938-07-18,2140,A
USGS,8362500,1938-07-19,2060,A
USGS,8362500,1938-07-20,1860,A
USGS,8362500,1938-07-21,1620,A
USGS,8362500,1938-07-22,1530,A
USGS,8362500,1938-07-23,1480,A
USGS,8362500,1938-07-24,1530,A
USGS,8362500,1938-07-25,1560,A
USGS,8362500,1938-07-26,1730,A
USGS,8362500,1938-07-27,1730,A
USGS,8362500,1938-07-28,1740,A
USGS,8362500,1938-07-29,1690,A
USGS,8362500,1938-07-30,1830,A
USGS,8362500,1938-07-31,1850,A
USGS,8362500,1938-08-01,1980,A
USGS,8362500,1938-08-02,2050,A
USGS,8362500,1938-08-03,2130,A
USGS,8362500,1938-08-04,2420,A
USGS,8362500,1938-08-05,2430,A
USGS,8362500,1938-08-06,2430,A
USGS,8362500,1938-08-07,2430,A
USGS,8362500,1938-08-08,2420,A
USGS,8362500,1938-08-09,2280,A
USGS,8362500,1938-08-10,2190,A
USGS,8362500,1938-08-11,2240,A
USGS,8362500,1938-08-12,2340,A
USGS,8362500,1938-08-13,2240,A
USGS,8362500,1938-08-14,2140,A
USGS,8362500,1938-08-15,2050,A
USGS,8362500,1938-08-16,2100,A
USGS,8362500,1938-08-17,2100,A
USGS,8362500,1938-08-18,2100,A
USGS,8362500,1938-08-19,2060,A
USGS,8362500,1938-08-20,1970,A
USGS,8362500,1938-08-21,1950,A
USGS,8362500,1938-08-22,1960,A
USGS,8362500,1938-08-23,1950,A
USGS,8362500,1938-08-24,1940,A
USGS,8362500,1938-08-25,1960,A
USGS,8362500,1938-08-26,2020,A
USGS,8362500,1938-08-27,2020,A
USGS,8362500,1938-08-28,2080,A
USGS,8362500,1938-08-29,2100,A
USGS,8362500,1938-08-30,2050,A
USGS,8362500,1938-08-31,1990,A
USGS,8362500,1938-09-01,1480,A
USGS,8362500,1938-09-02,672,A
USGS,8362500,1938-09-03,904,A
USGS,8362500,1938-09-04,872,A
USGS,8362500,1938-09-05,804,A
USGS,8362500,1938-09-06,719,A
USGS,8362500,1938-09-07,490,A
USGS,8362500,1938-09-08,279,A
USGS,8362500,1938-09-09,474,A
USGS,8362500,1938-09-10,507,A
USGS,8362500,1938-09-11,499,A
USGS,8362500,1938-09-12,492,A
USGS,8362500,1938-09-13,504,A
USGS,8362500,1938-09-14,518,A
USGS,8362500,1938-09-15,483,A
USGS,8362500,1938-09-16,450,A
USGS,8362500,1938-09-17,537,A
USGS,8362500,1938-09-18,490,A
USGS,8362500,1938-09-19,617,A
USGS,8362500,1938-09-20,666,A
USGS,8362500,1938-09-21,759,A
USGS,8362500,1938-09-22,856,A
USGS,8362500,1938-09-23,852,A
USGS,8362500,1938-09-24,950,A
USGS,8362500,1938-09-25,1020,A
USGS,8362500,1938-09-26,1020,A
USGS,8362500,1938-09-27,993,A
USGS,8362500,1938-09-28,1030,A
