Date,PCR_GLOBWB2
2001-01-31,5659.1514
2001-02-28,6814.6406
2001-03-31,8560.688
2001-04-30,9488.434
2001-05-31,10411.925
2001-06-30,10359.769
2001-07-31,8542.651
2001-08-31,11772.338
2001-09-30,9206.09
2001-10-31,4923.7056
2001-11-30,2359.2002
2001-12-31,1755.4741
2002-01-31,1086.3467
2002-02-28,725.2409
2002-03-31,106.868576
2002-04-30,60.05688
2002-05-31,123.89449
2002-06-30,9.378087
2002-07-31,1548.8185
2002-08-31,3524.9753
2002-09-30,5673.8003
2002-10-31,6437.1406
2002-11-30,6844.288
2002-12-31,5807.8447
2003-01-31,3588.9697
2003-02-28,2690.2263
2003-03-31,4181.6885
2003-04-30,5606.6797
2003-05-31,3758.8374
2003-06-30,3070.3376
2003-07-31,929.72144
2003-08-31,1751.545
2003-09-30,5951.0366
2003-10-31,6492.7603
2003-11-30,4737.5425
2003-12-31,2936.486
2004-01-31,1610.9938
2004-02-29,1036.5029
2004-03-31,4553.74
2004-04-30,7397.9863
2004-05-31,6745.0527
2004-06-30,4420.5947
2004-07-31,2994.1538
2004-08-31,5433.6006
2004-09-30,3580.6924
2004-10-31,5899.5645
2004-11-30,6288.019
2004-12-31,5288.807
2005-01-31,6652.392
2005-02-28,7944.464
2005-03-31,8788.172
2005-04-30,9780.057
2005-05-31,10670.603
2005-06-30,10071.211
2005-07-31,7083.4746
2005-08-31,8514.536
2005-09-30,8647.977
2005-10-31,9614.001
2005-11-30,8041.625
2005-12-31,5090.919
2006-01-31,2456.4785
2006-02-28,848.5432
2006-03-31,217.74957
2006-04-30,477.30545
2006-05-31,600.2239
2006-06-30,337.70868
2006-07-31,7323.933
2006-08-31,14061.492
2006-09-30,19984.87
2006-10-31,15575.102
2006-11-30,11555.253
2006-12-31,9057.25
2007-01-31,6557.881
2007-02-28,5250.2134
2007-03-31,5773.5137
2007-04-30,8340.28
2007-05-31,9322.551
2007-06-30,8814.664
2007-07-31,7311.1543
2007-08-31,13467.834
2007-09-30,11091.599
2007-10-31,9338.661
2007-11-30,5714.498
2007-12-31,6932.6597
2008-01-31,5586.495
2008-02-29,4424.0693
2008-03-31,3248.1821
2008-04-30,3352.073
2008-05-31,5281.3794
2008-06-30,6809.4634
2008-07-31,7719.84
2008-08-31,9583.241
2008-09-30,10870.384
2008-10-31,8057.2534
2008-11-30,5011.891
2008-12-31,3181.7598
2009-01-31,1884.7987
2009-02-28,1154.6215
2009-03-31,1985.3513
2009-04-30,2705.026
2009-05-31,5393.246
2009-06-30,6544.3804
2009-07-31,7796.168
2009-08-31,5339.686
2009-09-30,5805.905
2009-10-31,6878.722
2009-11-30,5578.069
2009-12-31,3589.1248
2010-01-31,2414.105
2010-02-28,2957.728
2010-03-31,3491.9998
2010-04-30,7385.61
2010-05-31,7229.16
2010-06-30,5708.8594
2010-07-31,4537.656
2010-08-31,9280.281
2010-09-30,7850.254
2010-10-31,6723.844
2010-11-30,4414.742
2010-12-31,2286.9644
2011-01-31,1904.0902
2011-02-28,1010.52496
2011-03-31,178.65831
2011-04-30,24.54995
2011-05-31,13.203335
2011-06-30,56.936703
2011-07-31,533.67505
2011-08-31,1782.9204
2011-09-30,2701.2324
2011-10-31,3426.9243
2011-11-30,2772.6082
2011-12-31,2257.6453
2012-01-31,1964.4863
2012-02-29,964.87946
2012-03-31,978.2478
2012-04-30,3224.0283
2012-05-31,2144.9885
2012-06-30,539.5199
2012-07-31,1798.3857
2012-08-31,942.5752
2012-09-30,1131.1755
2012-10-31,182.83269
2012-11-30,35.78148
2012-12-31,69.619965
2013-01-31,93.14265
2013-02-28,118.66831
2013-03-31,79.91265
2013-04-30,22.74723
2013-05-31,41.8899
2013-06-30,56.126816
2013-07-31,2512.4973
2013-08-31,3884.837
2013-09-30,4884.867
2013-10-31,3779.2578
2013-11-30,3737.0662
2013-12-31,3458.635
