date,tmin,tmax,prcp,srad,vp,pet,dayl,QObs,area,latitude,elevation
1980-01-01,-10.083961,6.0033317,0.0,350.16382,258.06686,0.9709099457282572,35139.7484791195,0.05218538033720254,1219077979.0992,35.9045882806,2598.4744374761
1980-01-02,-13.122605,1.6836731,0.0,339.8318,214.1242,0.7163900896785828,35173.85392485184,0.05218538033720254,1219077979.0992,35.9045882806,2598.4744374761
1980-01-03,-17.274092,1.6250097,0.0,365.24075,151.81467,0.6707406832577518,35211.14082749493,0.0421497302723559,1219077979.0992,35.9045882806,2598.4744374761
1980-01-04,-14.109405,4.257207,0.0,367.7777,186.43552,0.8566336744959404,35251.57512883367,0.04415686028532523,1219077979.0992,35.9045882806,2598.4744374761
1980-01-05,-11.078668,7.0958414,0.0,366.8716,230.29793,1.0506811017508664,35295.12014823804,0.05017825032423321,1219077979.0992,35.9045882806,2598.4744374761
1980-01-06,-7.4463944,4.5955577,0.0,311.1416,325.0296,0.8897053738781749,35341.73670150646,0.04817112031126388,1219077979.0992,35.9045882806,2598.4744374761
1980-01-07,-5.474332,1.657322,0.0,211.7784,399.45743,0.6675309877372315,35391.38322588923,0.05419251035017187,1219077979.0992,35.9045882806,2598.4744374761
1980-01-08,-4.9749517,0.82246155,0.014081731,175.41782,415.66537,0.5983702052116535,35444.015910508526,0.05419251035017187,1219077979.0992,35.9045882806,2598.4744374761
1980-01-09,-4.4342213,1.7774038,0.0,187.07115,430.75818,0.6521065497467363,35499.5888313764,0.05218538033720254,1219077979.0992,35.9045882806,2598.4744374761
1980-01-10,-3.1891975,0.08338943,2.697793,92.542885,481.23758,0.469334353442153,35558.0540902058,0.05419251035017187,1219077979.0992,35.9045882806,2598.4744374761
1980-01-11,-8.382937,-0.49011543,5.306625,181.04749,331.4499,0.6027975727311337,35619.36195620926,0.05017825032423321,1219077979.0992,35.9045882806,2598.4744374761
1980-01-12,-5.323091,2.3531058,4.4773846,200.30254,408.4039,0.7299000102774006,35683.461010088206,0.06021390038907985,1219077979.0992,35.9045882806,2598.4744374761
1980-01-13,0.68551445,8.868697,0.0,241.1172,622.7273,1.0490331405249873,35750.29828942978,0.0702495504539265,1219077979.0992,35.9045882806,2598.4744374761
1980-01-14,-1.6008606,5.0228367,0.7327788,194.6338,533.5586,0.8206033692541572,35819.819434748424,0.0561996403631412,1219077979.0992,35.9045882806,2598.4744374761
