"iD","area_km2","lat","lon","num_of_years"
"02364500",3061.38,31.11267588,-86.0993868,57.741273100616
"02407000",21735.28,33.29177917,-86.36386659,20.7419575633128
"02411000",26164.18,32.6140204,-86.2549702,55.7426420260096
"02414500",4338.25,33.11678684,-85.5607875,57.9958932238193
"02414715",5330.22,32.97738315,-85.7396804,30.1245722108145
"02418500",8619.52,32.51263566,-85.8891253,55.7426420260096
"02419890",12033.14,32.43989677,-86.1955275,20.249144421629
"02420000",39075.33,32.41152597,-86.40830579,57.9958932238193
"02424000",2659.93,32.9451238,-87.1391623,57.9958932238193
"02424590",3833.2,32.5293002,-87.198884,24.0958247775496
"02425000",4573.94,32.4440634,-87.180279,47.2470910335387
"02428400",55615.07,31.61515849,-87.550548,40.249144421629
"02444160",14892.5,33.21067874,-88.2886454,35.2470910335387
"02444500",15384.6,33.08123655,-88.2378093,20.2436687200548
"02447025",18725.7,32.8481856,-88.1561363,37.7905544147844
"02448500",2841.23,32.9326287,-88.2978103,57.9958932238193
"02456500",2292.15,33.7098268,-86.9833305,57.9958932238193
"02462500",10310.79,33.4584457,-87.3541677,37.9931553730322
"02462951",10927.21,33.25317258,-87.4491703,37.9931553730322
"02465000",12483.8,33.20928528,-87.5900074,57.9958932238193
"02466030",15047.9,32.77790835,-87.8405687,39.2470910335387
"02467000",39847.15,32.51958077,-87.8783476,57.9958932238193
"02469761",47700.03,31.75849066,-88.1291763,55.2470910335387
"03575500",66329.9,34.57175806,-86.5580466,47.7426420260096
"03589500",79797.9,34.78703254,-87.6700288,47.8877481177276
"15024800",50841.7,56.70772188,-132.1319653,39.4250513347023
"15041200",16835,58.53829828,-133.7017432,28.4407939767283
"15056500",2048.69,59.41494719,-135.9310198,56.5010266940452
"15129000",27169.1,59.39471189,-138.083688,21.2484599589322
"15200280",4558.4,62.5203918,-145.5330154,43.2470910335387
"15212000",53794.3,61.46507857,-144.4579232,32.7446954140999
"15214000",62237.7,60.6711432,-144.7467135,27.501711156742
"15266300",5231.8,60.4769289,-151.0816675,50.6666666666667
"15281000",3159.8,61.5044605,-149.032765,56.1067761806982
"15284000",5335.4,61.6086312,-149.0730432,57.9958932238193
"15291000",2375.03,63.10343837,-147.5180902,56.7419575633128
"15291500",10644.9,62.6981532,-147.5472168,25.2484599589322
"15292000",15876.7,62.7672899,-149.6933794,57.9958932238193
"15292400",6526.8,62.55810837,-150.23616,57.9110198494182
"15292700",5205.9,62.3464388,-150.019201,51.5811088295688
"15292780",28671.3,62.1748474,-150.1726719,34.4147843942505
