gauge_id,gauge_name,country,gauge_lat,gauge_lon,area
camelsch_2009,Porte_du_Scex,CH,46.35,6.89,5225.273653143499
camelsch_2011,Sion,CH,46.22,7.36,3363.354924084301
camelsch_2016,Brugg,CH,47.48,8.19,11649.797794427994
camelsch_2018,Mellingen,CH,47.42,8.27,3376.6137700936074
camelsch_2019,Brienzwiler,CH,46.75,8.09,553.6847750354171
camelsch_2020,Bellinzona,CH,46.19,9.01,1513.4924252453204
camelsch_2024,Branson,CH,46.13,7.09,3717.857977812756
camelsch_2029,Brügg-Aegerten,CH,47.12,7.28,8226.62048963216
camelsch_2030,Thun,CH,46.76,7.61,2452.753985662572
camelsch_2033,Ilanz,CH,46.78,9.21,771.9873061523159
camelsch_2034,Payerne-Caserne_d'aviation,CH,46.84,6.94,414.8251096779886
camelsch_2041,Oberriet-Blatten,CH,47.31,9.57,6125.4635221972485
camelsch_2044,Andelfingen,CH,47.6,8.68,1696.7337286641282
camelsch_2053,Martigny-Pont_de_Rossettan,CH,46.1,7.06,673.7924161768851
camelsch_2056,Seedorf,CH,46.88,8.62,830.9809633645826
camelsch_2063,Murgenthal,CH,47.27,7.83,10032.407865498575
camelsch_2067,Martina,CH,46.89,10.47,1932.3385159027584
camelsch_2068,Riazzino,CH,46.16,8.91,1608.977277883506
camelsch_2070,Emmenmatt,CH,46.95,7.75,441.8424681980205
camelsch_2078,Le_Prese,CH,46.3,10.08,167.26671038209105
camelsch_2079,Le_Prese,CH,46.3,10.08,1.0000273624227485
camelsch_2084,Ingenbohl,CH,47.0,8.6,315.7637259544357
camelsch_2085,Hagneck,CH,47.06,7.18,5098.271838825177
camelsch_2086,Loderio,CH,46.38,8.97,399.18370457088383
camelsch_2087,Andermatt,CH,46.64,8.59,189.67742378662888
camelsch_2091,Rheinfelden-Messstation,CH,47.56,7.8,34383.20543793149
camelsch_2099,Zürich-Unterhard,CH,47.39,8.53,2167.98057207713
camelsch_2102,Sarnen,CH,46.9,8.25,268.5756972337628
camelsch_2104,Weesen-Biäsche,CH,47.13,9.09,1058.62749012395
camelsch_2105,St._Moritzbad,CH,46.48,9.83,154.9851023218623
camelsch_2106,Münchenstein-Hofmatt,CH,47.52,7.62,884.7929218488506
camelsch_2109,Gsteig,CH,46.66,7.87,379.6508048131505
camelsch_2110,Mühlau-Hünenberg,CH,47.22,8.4,2894.47917492116
camelsch_2112,Appenzell,CH,47.33,9.41,74.22640470033569
camelsch_2113,Felsenau-K.W._Klingnau,CH,47.59,8.23,17639.18568365431
camelsch_2116,Koblenz,CH,47.61,8.23,15860.154188549284
camelsch_2117,Le_Châble-Villette,CH,46.08,7.21,253.02411786685764
camelsch_2119,Fribourg,CH,46.8,7.17,1267.189308141505
camelsch_2122,Moutier-La_Charrue,CH,47.28,7.38,185.27662331839943
camelsch_2125,Frauenthal,CH,47.22,8.42,261.00360312775973
camelsch_2126,Wängi,CH,47.5,8.95,79.91414612650051
camelsch_2130,Laufenburg,CH,47.56,8.05,33915.52968317388
camelsch_2132,Neftenbach,CH,47.52,8.65,342.34289239569046
camelsch_2135,Bern-Schönau,CH,46.93,7.45,2933.356687596012
camelsch_2139,St._Margrethen,CH,47.45,9.66,174.45158444169817
camelsch_2141,Tiefencastel,CH,46.66,9.57,527.6420228730328
camelsch_2143,Rekingen,CH,47.57,8.33,14677.089524805284
