# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2024-04-26
#
# GRDC-No.:              3650645
# River:                 RIO JAGUARIBE
# Station:               IGUATU
# Country:               BR
# Latitude (DD):       -6.36667
# Longitude (DD):      -39.3
# Catchment area (km²):      21770.0
# Altitude (m ASL):        213.0
# Next downstream station:      3650649
# Remarks:               
# Owner of original data: Brazil - National Water Agency (ANA)
#************************************************************
#
# Data Set Content:      MEAN MONTHLY DISCHARGE (MQ)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1911 - 1992
# No. of years:          82
# Last update:           2018-05-18
#
# Table Header:
#     YYYY-MM-DD - Date (DD=00)
#     hh:mm      - Time
#     Original   - original (provided) data
#     Calculated - GRDC calculated from daily data
#     Flag       - percentage of valid values used for calculation from daily data
#************************************************************
#
# Data lines: 975
# DATA
YYYY-MM-DD;hh:mm; Original; Calculated; Flag
1911-10-01;--:--;      0.000;      0.000; 100
1911-11-01;--:--;      0.000;      0.000; 100
1911-12-01;--:--;      0.000;      0.000; 100
1912-01-01;--:--;      0.220;      0.194; 100
1912-02-01;--:--;    207.000;    206.448; 100
1912-03-01;--:--;    109.000;    108.871; 100
1912-04-01;--:--;     65.000;     64.767; 100
1912-05-01;--:--;     10.200;      9.774; 100
1912-06-01;--:--;      4.240;      3.767; 100
1912-07-01;--:--;      0.000;      0.000; 100
1912-08-01;--:--;      0.000;      0.000; 100
1912-09-01;--:--;      0.000;      0.000; 100
1912-10-01;--:--;      0.000;      0.000; 100
1912-11-01;--:--;      0.000;      0.000; 100
1912-12-01;--:--;      0.000;      0.000; 100
1913-01-01;--:--;      0.000;      0.000; 100
1913-02-01;--:--;     27.000;     26.929; 100
1913-03-01;--:--;    128.000;    128.355; 100
1913-04-01;--:--;     78.400;     78.033; 100
1913-05-01;--:--;     29.600;     29.194; 100
1913-06-01;--:--;      2.320;      2.200; 100
1913-07-01;--:--;      0.000;      0.000; 100
1913-08-01;--:--;      0.000;      0.000; 100
1913-09-01;--:--;      0.000;      0.000; 100
1913-10-01;--:--;      0.000;      0.000; 100
1913-11-01;--:--;      0.000;      0.000; 100
1913-12-01;--:--;      0.560;      0.516; 100
1914-01-01;--:--;    169.000;    169.097; 100
1914-02-01;--:--;    201.000;    201.071; 100
1914-03-01;--:--;    100.000;    100.097; 100
1914-04-01;--:--;      7.540;      7.200; 100
1914-05-01;--:--;      0.430;      0.387; 100
1914-06-01;--:--;      0.000;      0.000; 100
1914-07-01;--:--;      0.000;      0.000; 100
1914-08-01;--:--;      0.000;      0.000; 100
1914-09-01;--:--;      0.000;      0.000; 100
1914-10-01;--:--;      0.000;      0.000; 100
1914-11-01;--:--;      0.000;      0.000; 100
1914-12-01;--:--;      0.000;      0.000; 100
1915-01-01;--:--;      0.000;      0.000; 100
1915-02-01;--:--;      0.000;      0.000; 100
