# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2024-04-26
#
# GRDC-No.:              3650649
# River:                 RIO JAGUARIBE
# Station:               PEIXE GORDO
# Country:               BR
# Latitude (DD):       -5.2275
# Longitude (DD):      -38.1978
# Catchment area (km²):      48200.0
# Altitude (m ASL):        50.0
# Next downstream station:      -
# Remarks:               
# Owner of original data: Brazil - National Water Agency (ANA)
#************************************************************
#
# Data Set Content:      MEAN MONTHLY DISCHARGE (MQ)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1961 - 2020
# No. of years:          60
# Last update:           2021-03-24
#
# Table Header:
#     YYYY-MM-DD - Date (DD=00)
#     hh:mm      - Time
#     Original   - original (provided) data
#     Calculated - GRDC calculated from daily data
#     Flag       - percentage of valid values used for calculation from daily data
#************************************************************
#
# Data lines: 717
# DATA
YYYY-MM-DD;hh:mm; Original; Calculated; Flag
1961-01-01;--:--;   -999.000;      5.861; 100
1961-02-01;--:--;   -999.000;     31.546; 100
1961-03-01;--:--;   -999.000;     61.423; 100
1961-04-01;--:--;   -999.000;     30.237; 100
1961-05-01;--:--;   -999.000;      4.435; 100
1961-06-01;--:--;   -999.000;      0.339; 100
1961-07-01;--:--;   -999.000;      1.500; 100
1961-08-01;--:--;      0.160;      0.155; 100
1961-09-01;--:--;      0.000;      0.000; 100
1961-10-01;--:--;      0.000;      0.000; 100
1961-11-01;--:--;      0.000;      0.000; 100
1961-12-01;--:--;      0.000;      0.000; 100
1962-01-01;--:--;      0.000;      0.000; 100
1962-02-01;--:--;      0.070;      0.074; 100
1962-03-01;--:--;     74.200;     74.210; 100
1962-04-01;--:--;    380.000;    379.967; 100
1962-05-01;--:--;     70.600;     70.568; 100
1962-06-01;--:--;     12.100;     12.092; 100
1962-07-01;--:--;      2.240;      2.240; 100
1962-08-01;--:--;      0.450;      0.447; 100
1962-09-01;--:--;   -999.000;      0.000; 100
1962-10-01;--:--;   -999.000;      0.000; 100
1962-11-01;--:--;   -999.000;      0.000; 100
1962-12-01;--:--;   -999.000;      0.714; 100
1963-01-01;--:--;   -999.000;      1.966; 100
1963-02-01;--:--;    185.000;    184.689; 100
1963-03-01;--:--;   1254.000;   1254.161; 100
1963-04-01;--:--;    999.000;    999.133; 100
