Dates,mm
10/1/1928,0.798377806
11/1/1928,0.761128258
12/1/1928,0.676637419
1/1/1929,0.598124903
2/1/1929,0.525423484
3/1/1929,0.413465806
4/1/1929,0.458240516
5/1/1929,0.534119226
6/1/1929,0.792274065
7/1/1929,0.826806194
8/1/1929,0.678978581
9/1/1929,0.670659097
10/1/1929,0.631528258
11/1/1929,0.686921806
12/1/1929,0.69147871
1/1/1930,0.658535226
2/1/1930,0.668276129
3/1/1930,1.163808
4/1/1930,3.642094452
5/1/1930,3.949789935
6/1/1930,2.05227871
7/1/1930,1.199552516
8/1/1930,1.015520516
9/1/1930,0.917400774
10/1/1930,0.822876387
11/1/1930,0.943404387
12/1/1930,0.906698323
1/1/1931,0.735793548
2/1/1931,0.690015484
3/1/1931,0.570030968
4/1/1931,2.913408
5/1/1931,5.524889806
6/1/1931,4.502429419
7/1/1931,1.735385806
8/1/1931,1.138347871
9/1/1931,1.012426839
10/1/1931,0.841605677
11/1/1931,0.75356129
12/1/1931,0.668192516
1/1/1932,0.61359329
2/1/1932,0.597079742
3/1/1932,0.532112516
4/1/1932,2.554374194
5/1/1932,5.517239226
6/1/1932,5.585969032
7/1/1932,2.623354839
8/1/1932,1.572591484
9/1/1932,1.232412387
10/1/1932,0.989767742
11/1/1932,0.845660903
12/1/1932,0.699756387
1/1/1933,1.092778839
2/1/1933,1.00511071
3/1/1933,0.737507613
4/1/1933,1.176935226
5/1/1933,2.162104258
6/1/1933,2.000982194
7/1/1933,1.334712774
8/1/1933,1.155530323
9/1/1933,0.759205161
10/1/1933,0.66024929
11/1/1933,0.641436387
12/1/1933,0.598919226
1/1/1934,0.560958968
2/1/1934,0.571159742
3/1/1934,0.488717419
4/1/1934,0.519027097
5/1/1934,1.241693419
6/1/1934,1.783379613
7/1/1934,1.141148903
8/1/1934,0.85724129
9/1/1934,0.815309419
10/1/1934,0.713468903
11/1/1934,0.67839329
12/1/1934,0.646369548
1/1/1935,0.629479742
2/1/1935,0.657908129
3/1/1935,0.662130581
4/1/1935,1.485968516
5/1/1935,3.061361032
6/1/1935,2.981594323
7/1/1935,1.24416
8/1/1935,1.076516129
9/1/1935,1.001306323
10/1/1935,0.868947097
11/1/1935,0.791939613
12/1/1935,0.712381935
1/1/1936,0.698502194
2/1/1936,0.831739355
3/1/1936,0.829899871
4/1/1936,2.476614194
5/1/1936,3.935283097
6/1/1936,3.239205677
7/1/1936,1.692910452
8/1/1936,1.175806452
9/1/1936,1.079986065
10/1/1936,0.919491097
11/1/1936,0.797917935
12/1/1936,0.659789419
1/1/1937,0.585792
2/1/1937,0.542940387
3/1/1937,0.589847226
4/1/1937,2.865790452
5/1/1937,4.777850323
6/1/1937,3.823534452
7/1/1937,1.561345548
8/1/1937,1.229987613
9/1/1937,1.063054452
10/1/1937,0.897333677
11/1/1937,0.853227871
12/1/1937,0.777767226
1/1/1938,0.716144516
2/1/1938,0.696244645
3/1/1938,1.24215329
4/1/1938,2.189027613
5/1/1938,2.852663226
6/1/1938,2.184846968
7/1/1938,1.038932129
8/1/1938,0.903604645
9/1/1938,0.818235871
10/1/1938,0.713928774
11/1/1938,0.721119484
12/1/1938,0.706278194
1/1/1939,0.66024929
2/1/1939,0.618651871
3/1/1939,0.496827871
4/1/1939,2.245006452
5/1/1939,3.868643613
6/1/1939,3.170016
7/1/1939,1.369997419
8/1/1939,1.088556387
9/1/1939,0.960503226
10/1/1939,0.802600258
11/1/1939,0.719823484
12/1/1939,0.616394323
1/1/1940,0.585164903
2/1/1940,0.667899871
3/1/1940,0.640433032
4/1/1940,2.622267871
5/1/1940,3.287659355
6/1/1940,1.848890323
7/1/1940,1.113389419
8/1/1940,0.976933161
9/1/1940,0.906447484
10/1/1940,0.776053161
11/1/1940,0.698711226
12/1/1940,0.592021161
1/1/1941,0.516351484
2/1/1941,0.482195613
3/1/1941,0.433616516
4/1/1941,0.70949729
5/1/1941,0.970076903
6/1/1941,0.907743484
7/1/1941,0.739221677
8/1/1941,0.707239742
9/1/1941,0.691938581
10/1/1941,0.624212129
11/1/1941,0.629187097
12/1/1941,0.931196903
1/1/1942,1.095412645
2/1/1942,0.870953806
3/1/1942,1.465817806
4/1/1942,4.003887484
5/1/1942,4.88663071
6/1/1942,2.867922581
7/1/1942,1.38354271
8/1/1942,1.141776
9/1/1942,0.990018581
10/1/1942,0.808996645
11/1/1942,0.734832
12/1/1942,0.676344774
1/1/1943,0.640892903
2/1/1943,0.645617032
3/1/1943,0.52287329
4/1/1943,0.606946065
5/1/1943,2.019000774
6/1/1943,2.307883355
7/1/1943,0.925594839
8/1/1943,0.857868387
9/1/1943,0.804523355
10/1/1943,0.689597419
11/1/1943,0.620658581
12/1/1943,0.522580645
1/1/1944,0.454854194
2/1/1944,0.443106581
3/1/1944,0.565515871
4/1/1944,2.462901677
5/1/1944,2.999236645
6/1/1944,1.990948645
7/1/1944,1.150053677
8/1/1944,0.990394839
9/1/1944,0.90531871
10/1/1944,0.811505032
11/1/1944,0.89352929
12/1/1944,0.942150194
1/1/1945,0.876137806
2/1/1945,0.814222452
3/1/1945,0.703477161
4/1/1945,1.073547871
5/1/1945,2.383762065
6/1/1945,2.479373419
7/1/1945,1.065144774
8/1/1945,0.936506323
9/1/1945,0.857408516
10/1/1945,0.726136258
11/1/1945,0.668067097
12/1/1945,0.599838968
1/1/1946,0.543024
2/1/1946,0.51133471
3/1/1946,0.384284903
4/1/1946,1.068865548
5/1/1946,1.745043097
6/1/1946,1.820002065
7/1/1946,0.821036903
8/1/1946,0.76263329
9/1/1946,0.801304258
10/1/1946,0.859122581
11/1/1946,0.852600774
12/1/1946,0.705818323
1/1/1947,0.645909677
2/1/1947,0.676386581
3/1/1947,0.590014452
4/1/1947,2.810480516
5/1/1947,4.117726452
6/1/1947,3.680974452
7/1/1947,1.998055742
8/1/1947,1.326727742
9/1/1947,1.134501677
10/1/1947,0.916690065
11/1/1947,0.793235613
12/1/1947,0.676010323
1/1/1948,0.616227097
2/1/1948,0.586711742
3/1/1948,0.453892645
4/1/1948,1.052101161
5/1/1948,1.573678452
6/1/1948,1.470625548
7/1/1948,0.858495484
8/1/1948,0.800551742
9/1/1948,0.758243613
10/1/1948,0.669613935
11/1/1948,0.626762323
12/1/1948,0.658075355
1/1/1949,0.648250839
2/1/1949,0.645366194
3/1/1949,0.554269935
4/1/1949,1.409504516
5/1/1949,1.701522581
6/1/1949,1.113222194
7/1/1949,0.752014452
8/1/1949,0.718945548
9/1/1949,0.701930323
10/1/1949,0.625424516
11/1/1949,0.57743071
12/1/1949,0.509955097
1/1/1950,0.488257548
2/1/1950,0.506526968
3/1/1950,0.594989419
4/1/1950,1.756456258
5/1/1950,3.021226839
6/1/1950,2.488069161
7/1/1950,1.201726452
8/1/1950,1.029400258
9/1/1950,0.925803871
10/1/1950,0.788386065
11/1/1950,0.719029161
12/1/1950,0.596410839
1/1/1951,0.513675871
2/1/1951,0.520155871
3/1/1951,0.465598452
4/1/1951,2.740663742
5/1/1951,3.592344774
6/1/1951,3.449659355
7/1/1951,1.66218271
8/1/1951,1.248549677
9/1/1951,1.069994323
10/1/1951,0.909666581
11/1/1951,0.961924645
12/1/1951,1.082327226
1/1/1952,1.118991484
2/1/1952,0.984332903
3/1/1952,0.772959484
4/1/1952,1.392740129
5/1/1952,2.138692645
6/1/1952,1.753864258
7/1/1952,0.989600516
8/1/1952,0.871455484
9/1/1952,0.798085161
10/1/1952,0.686002065
11/1/1952,0.645951484
12/1/1952,0.588300387
1/1/1953,0.529311484
2/1/1953,0.475882839
3/1/1953,0.378975484
4/1/1953,0.500005161
5/1/1953,1.330323097
6/1/1953,1.688060903
7/1/1953,0.908119742
8/1/1953,0.842107355
9/1/1953,0.821622194
10/1/1953,0.754062968
11/1/1953,0.738051097
12/1/1953,0.665851355
1/1/1954,0.607029677
2/1/1954,0.601720258
3/1/1954,0.476050065
4/1/1954,1.428693677
5/1/1954,2.510059355
6/1/1954,2.305333161
7/1/1954,1.066231742
8/1/1954,0.927768774
9/1/1954,0.857115871
10/1/1954,0.739388903
11/1/1954,0.677431742
12/1/1954,0.584872258
1/1/1955,0.513048774
2/1/1955,0.568902194
3/1/1955,0.566602839
4/1/1955,1.517114323
5/1/1955,2.435434839
6/1/1955,1.943540129
7/1/1955,1.055153032
8/1/1955,0.867525677
9/1/1955,0.802725677
10/1/1955,0.685834839
11/1/1955,0.628058323
12/1/1955,0.614972903
1/1/1956,0.736880516
2/1/1956,0.833453419
3/1/1956,0.654020129
4/1/1956,1.435340903
5/1/1956,1.690276645
6/1/1956,1.050178065
7/1/1956,0.760626581
8/1/1956,0.695074065
9/1/1956,0.654856258
10/1/1956,0.580817032
11/1/1956,0.543065806
12/1/1956,0.468399484
1/1/1957,0.542564129
2/1/1957,0.623877677
3/1/1957,0.507739355
4/1/1957,2.101944774
5/1/1957,3.253169032
6/1/1957,3.021143226
7/1/1957,1.267111742
8/1/1957,1.071833806
9/1/1957,0.951431226
10/1/1957,0.823210839
11/1/1957,0.821789419
12/1/1957,0.902183226
1/1/1958,0.892651355
2/1/1958,1.013346581
3/1/1958,1.089016258
4/1/1958,2.041116387
5/1/1958,2.798189419
6/1/1958,2.278075355
7/1/1958,1.300222452
8/1/1958,1.011130839
9/1/1958,0.90272671
10/1/1958,0.752014452
11/1/1958,0.656612129
12/1/1958,0.555816774
1/1/1959,0.516351484
2/1/1959,0.52170271
3/1/1959,0.448750452
4/1/1959,1.017736258
5/1/1959,1.144744258
6/1/1959,0.853395097
7/1/1959,0.802767484
8/1/1959,0.790267355
9/1/1959,0.798377806
